lon,lat,time,spatial_ref,precipitation
87.85002,27.849998,2020-01-01,0,
87.85002,27.75,2020-01-01,0,
87.85002,27.650002,2020-01-01,0,0.125
87.85002,27.55,2020-01-01,0,0.0625
87.95,27.849998,2020-01-01,0,0.0625
87.95,27.75,2020-01-01,0,0.0625
87.95,27.650002,2020-01-01,0,0.0625
87.95,27.55,2020-01-01,0,0.0
88.05,27.849998,2020-01-01,0,0.0625
88.05,27.75,2020-01-01,0,0.0625
88.05,27.650002,2020-01-01,0,0.0625
88.05,27.55,2020-01-01,0,
88.15001,27.849998,2020-01-01,0,0.5
88.15001,27.75,2020-01-01,0,0.625
88.15001,27.650002,2020-01-01,0,
88.15001,27.55,2020-01-01,0,
